x	V(out)
0.000000000000000e+00	9.635477e-01
1.000000000000000e+00	1.033501e+00
2.000000000000000e+00	1.046887e+00
3.000000000000000e+00	9.721034e-01
4.000000000000000e+00	9.808167e-01
5.000000000000000e+00	1.004722e+00
6.000000000000000e+00	9.688382e-01
7.000000000000000e+00	1.049288e+00
8.000000000000000e+00	1.049646e+00
9.000000000000000e+00	1.046769e+00
1.000000000000000e+01	1.022584e+00
1.100000000000000e+01	1.048111e+00
1.200000000000000e+01	9.609862e-01
1.300000000000000e+01	1.029811e+00
1.400000000000000e+01	9.797029e-01
1.500000000000000e+01	9.504784e-01
1.600000000000000e+01	9.612464e-01
1.700000000000000e+01	1.013976e+00
1.800000000000000e+01	1.037843e+00
1.900000000000000e+01	1.000366e+00
2.000000000000000e+01	1.029793e+00
2.100000000000000e+01	9.861294e-01
2.200000000000000e+01	9.711924e-01
2.300000000000000e+01	1.018136e+00
2.400000000000000e+01	9.898738e-01
2.500000000000000e+01	1.024065e+00
2.600000000000000e+01	9.974759e-01
2.700000000000000e+01	9.922088e-01
2.800000000000000e+01	9.673865e-01
2.900000000000000e+01	9.801913e-01
3.000000000000000e+01	1.029728e+00
3.100000000000000e+01	9.816551e-01
3.200000000000000e+01	1.037243e+00
3.300000000000000e+01	9.649114e-01
3.400000000000000e+01	1.049407e+00
3.500000000000000e+01	1.032190e+00
3.600000000000000e+01	9.625183e-01
3.700000000000000e+01	1.026375e+00
3.800000000000000e+01	9.990589e-01
3.900000000000000e+01	1.016361e+00
4.000000000000000e+01	9.625897e-01
4.100000000000000e+01	9.710209e-01
4.200000000000000e+01	9.551216e-01
4.300000000000000e+01	9.536441e-01
4.400000000000000e+01	9.908731e-01
4.500000000000000e+01	9.957989e-01
4.600000000000000e+01	9.987569e-01
4.700000000000000e+01	1.029397e+00
4.800000000000000e+01	1.042087e+00
4.900000000000000e+01	1.030753e+00
5.000000000000000e+01	1.020577e+00
5.100000000000000e+01	9.502819e-01
5.200000000000000e+01	1.021070e+00
5.300000000000000e+01	1.014396e+00
5.400000000000000e+01	9.956033e-01
5.500000000000000e+01	1.027392e+00
5.600000000000000e+01	1.007375e+00
5.700000000000000e+01	1.037676e+00
5.800000000000000e+01	1.030818e+00
5.900000000000000e+01	9.517774e-01
6.000000000000000e+01	1.032125e+00
6.100000000000000e+01	1.032084e+00
6.200000000000000e+01	1.044007e+00
6.300000000000000e+01	9.912667e-01
6.400000000000000e+01	9.923165e-01
6.500000000000000e+01	1.008096e+00
6.600000000000000e+01	9.658058e-01
6.700000000000000e+01	1.026173e+00
6.800000000000000e+01	9.730156e-01
6.900000000000000e+01	1.030973e+00
7.000000000000000e+01	1.048852e+00
7.100000000000000e+01	9.832448e-01
7.200000000000000e+01	9.799832e-01
7.300000000000000e+01	9.513539e-01
7.400000000000000e+01	9.717238e-01
7.500000000000000e+01	1.040736e+00
7.600000000000000e+01	1.034847e+00
7.700000000000000e+01	1.045502e+00
7.800000000000000e+01	1.027890e+00
7.900000000000000e+01	1.048746e+00
8.000000000000000e+01	9.567595e-01
8.100000000000000e+01	1.029360e+00
8.200000000000000e+01	1.009450e+00
8.300000000000000e+01	1.023280e+00
8.400000000000000e+01	1.019523e+00
8.500000000000000e+01	1.017982e+00
8.600000000000000e+01	9.892321e-01
8.700000000000000e+01	1.006156e+00
8.800000000000000e+01	9.708068e-01
8.900000000000000e+01	1.002737e+00
9.000000000000000e+01	9.904209e-01
9.100000000000000e+01	9.852762e-01
9.200000000000000e+01	1.009282e+00
9.300000000000000e+01	9.856345e-01
9.400000000000000e+01	1.046497e+00
9.500000000000000e+01	9.654438e-01
9.600000000000000e+01	9.894908e-01
9.700000000000000e+01	9.887296e-01
9.800000000000000e+01	1.022695e+00
9.900000000000000e+01	9.888570e-01
1.000000000000000e+02	1.042749e+00
1.010000000000000e+02	9.936118e-01
1.020000000000000e+02	1.036268e+00
1.030000000000000e+02	1.012036e+00
1.040000000000000e+02	9.619547e-01
1.050000000000000e+02	9.971957e-01
1.060000000000000e+02	9.840220e-01
1.070000000000000e+02	1.002984e+00
1.080000000000000e+02	1.021610e+00
1.090000000000000e+02	1.048838e+00
1.100000000000000e+02	1.022049e+00
1.110000000000000e+02	1.041258e+00
1.120000000000000e+02	1.000550e+00
1.130000000000000e+02	1.005827e+00
1.140000000000000e+02	1.000319e+00
1.150000000000000e+02	9.962474e-01
1.160000000000000e+02	1.004659e+00
1.170000000000000e+02	9.947584e-01
1.180000000000000e+02	1.035445e+00
1.190000000000000e+02	1.010423e+00
1.200000000000000e+02	9.998544e-01
1.210000000000000e+02	1.047993e+00
1.220000000000000e+02	9.534317e-01
1.230000000000000e+02	1.047700e+00
1.240000000000000e+02	9.863186e-01
1.250000000000000e+02	1.017952e+00
1.260000000000000e+02	9.846233e-01
1.270000000000000e+02	1.035588e+00
1.280000000000000e+02	9.545060e-01
1.290000000000000e+02	1.016012e+00
1.300000000000000e+02	1.024994e+00
1.310000000000000e+02	9.632996e-01
1.320000000000000e+02	1.048236e+00
1.330000000000000e+02	9.595355e-01
1.340000000000000e+02	9.782673e-01
1.350000000000000e+02	1.030211e+00
1.360000000000000e+02	9.577557e-01
1.370000000000000e+02	1.012738e+00
1.380000000000000e+02	9.508094e-01
1.390000000000000e+02	1.018029e+00
1.400000000000000e+02	1.003393e+00
1.410000000000000e+02	9.938667e-01
1.420000000000000e+02	9.699551e-01
1.430000000000000e+02	9.638001e-01
1.440000000000000e+02	9.882333e-01
1.450000000000000e+02	1.026242e+00
1.460000000000000e+02	9.540471e-01
1.470000000000000e+02	9.752956e-01
1.480000000000000e+02	1.000477e+00
1.490000000000000e+02	1.032261e+00
1.500000000000000e+02	1.048172e+00
1.510000000000000e+02	1.032346e+00
1.520000000000000e+02	9.801827e-01
1.530000000000000e+02	9.547944e-01
1.540000000000000e+02	9.747847e-01
1.550000000000000e+02	1.004406e+00
1.560000000000000e+02	1.038773e+00
1.570000000000000e+02	9.843839e-01
1.580000000000000e+02	9.533269e-01
1.590000000000000e+02	9.662872e-01
1.600000000000000e+02	1.037736e+00
1.610000000000000e+02	9.710302e-01
1.620000000000000e+02	9.772753e-01
1.630000000000000e+02	9.992442e-01
1.640000000000000e+02	9.723420e-01
1.650000000000000e+02	9.990302e-01
1.660000000000000e+02	1.045494e+00
1.670000000000000e+02	1.015197e+00
1.680000000000000e+02	1.025750e+00
1.690000000000000e+02	9.935246e-01
1.700000000000000e+02	1.005288e+00
1.710000000000000e+02	9.553152e-01
1.720000000000000e+02	9.822510e-01
1.730000000000000e+02	9.904981e-01
1.740000000000000e+02	1.040843e+00
1.750000000000000e+02	1.030914e+00
1.760000000000000e+02	9.758296e-01
1.770000000000000e+02	9.629847e-01
1.780000000000000e+02	9.993327e-01
1.790000000000000e+02	9.878501e-01
1.800000000000000e+02	1.021847e+00
1.810000000000000e+02	9.787805e-01
1.820000000000000e+02	1.012344e+00
1.830000000000000e+02	1.031187e+00
1.840000000000000e+02	9.812508e-01
1.850000000000000e+02	9.885710e-01
1.860000000000000e+02	9.843930e-01
1.870000000000000e+02	1.031577e+00
1.880000000000000e+02	1.016929e+00
1.890000000000000e+02	9.879419e-01
1.900000000000000e+02	9.958497e-01
1.910000000000000e+02	9.803614e-01
1.920000000000000e+02	1.041057e+00
1.930000000000000e+02	9.988618e-01
1.940000000000000e+02	1.025579e+00
1.950000000000000e+02	9.608062e-01
1.960000000000000e+02	9.893590e-01
1.970000000000000e+02	1.037019e+00
1.980000000000000e+02	9.860861e-01
1.990000000000000e+02	1.041712e+00
2.000000000000000e+02	1.004381e+00
2.010000000000000e+02	9.640144e-01
2.020000000000000e+02	9.699873e-01
2.030000000000000e+02	1.044893e+00
2.040000000000000e+02	1.049011e+00
2.050000000000000e+02	9.740076e-01
2.060000000000000e+02	9.516521e-01
2.070000000000000e+02	9.888615e-01
2.080000000000000e+02	1.027969e+00
2.090000000000000e+02	9.976638e-01
2.100000000000000e+02	1.004014e+00
2.110000000000000e+02	9.518451e-01
2.120000000000000e+02	1.040018e+00
2.130000000000000e+02	9.694495e-01
2.140000000000000e+02	1.038600e+00
2.150000000000000e+02	9.941223e-01
2.160000000000000e+02	9.647829e-01
2.170000000000000e+02	9.739503e-01
2.180000000000000e+02	1.029965e+00
2.190000000000000e+02	9.973015e-01
2.200000000000000e+02	9.589823e-01
2.210000000000000e+02	1.014455e+00
2.220000000000000e+02	1.013306e+00
2.230000000000000e+02	1.008438e+00
2.240000000000000e+02	1.022665e+00
2.250000000000000e+02	9.854638e-01
2.260000000000000e+02	1.018041e+00
2.270000000000000e+02	1.020732e+00
2.280000000000000e+02	9.662328e-01
2.290000000000000e+02	9.633737e-01
2.300000000000000e+02	9.949556e-01
2.310000000000000e+02	9.542054e-01
2.320000000000000e+02	1.029736e+00
2.330000000000000e+02	9.667556e-01
2.340000000000000e+02	1.033121e+00
2.350000000000000e+02	9.824964e-01
2.360000000000000e+02	1.015578e+00
2.370000000000000e+02	9.920190e-01
2.380000000000000e+02	1.028191e+00
2.390000000000000e+02	9.613193e-01
2.400000000000000e+02	1.049353e+00
2.410000000000000e+02	9.681573e-01
2.420000000000000e+02	1.026293e+00
2.430000000000000e+02	9.765921e-01
2.440000000000000e+02	9.744138e-01
2.450000000000000e+02	9.600738e-01
2.460000000000000e+02	9.844328e-01
2.470000000000000e+02	9.781627e-01
2.480000000000000e+02	1.046864e+00
2.490000000000000e+02	9.713773e-01
2.500000000000000e+02	1.010593e+00
2.510000000000000e+02	9.726551e-01
2.520000000000000e+02	9.689906e-01
2.530000000000000e+02	9.901571e-01
2.540000000000000e+02	9.913291e-01
2.550000000000000e+02	9.670152e-01
2.560000000000000e+02	9.799052e-01
2.570000000000000e+02	1.013647e+00
2.580000000000000e+02	9.651574e-01
2.590000000000000e+02	1.026924e+00
2.600000000000000e+02	1.038397e+00
2.610000000000000e+02	1.045922e+00
2.620000000000000e+02	9.518066e-01
2.630000000000000e+02	1.008285e+00
2.640000000000000e+02	1.026685e+00
2.650000000000000e+02	9.827798e-01
2.660000000000000e+02	9.629066e-01
2.670000000000000e+02	9.791961e-01
2.680000000000000e+02	1.034711e+00
2.690000000000000e+02	9.730765e-01
2.700000000000000e+02	1.000197e+00
2.710000000000000e+02	9.501598e-01
2.720000000000000e+02	9.512539e-01
2.730000000000000e+02	9.786587e-01
2.740000000000000e+02	9.598699e-01
2.750000000000000e+02	9.884755e-01
2.760000000000000e+02	9.855348e-01
2.770000000000000e+02	1.021997e+00
2.780000000000000e+02	9.565445e-01
2.790000000000000e+02	1.001386e+00
2.800000000000000e+02	9.923978e-01
2.810000000000000e+02	1.018980e+00
2.820000000000000e+02	9.753943e-01
2.830000000000000e+02	9.901519e-01
2.840000000000000e+02	9.764476e-01
2.850000000000000e+02	1.043425e+00
2.860000000000000e+02	9.972525e-01
2.870000000000000e+02	1.011092e+00
2.880000000000000e+02	9.988402e-01
2.890000000000000e+02	1.001452e+00
2.900000000000000e+02	9.745019e-01
2.910000000000000e+02	9.833005e-01
2.920000000000000e+02	1.000236e+00
2.930000000000000e+02	1.009606e+00
2.940000000000000e+02	9.810156e-01
2.950000000000000e+02	1.046300e+00
2.960000000000000e+02	9.732400e-01
2.970000000000000e+02	1.024690e+00
2.980000000000000e+02	9.822533e-01
2.990000000000000e+02	9.818232e-01
3.000000000000000e+02	1.045247e+00
3.010000000000000e+02	1.003472e+00
3.020000000000000e+02	1.037181e+00
3.030000000000000e+02	1.043460e+00
3.040000000000000e+02	1.016711e+00
3.050000000000000e+02	9.789689e-01
3.060000000000000e+02	9.565524e-01
3.070000000000000e+02	9.731889e-01
3.080000000000000e+02	1.020472e+00
3.090000000000000e+02	9.695107e-01
3.100000000000000e+02	9.922218e-01
3.110000000000000e+02	1.043605e+00
3.120000000000000e+02	9.642217e-01
3.130000000000000e+02	1.014318e+00
3.140000000000000e+02	9.972732e-01
3.150000000000000e+02	9.936933e-01
3.160000000000000e+02	9.744320e-01
3.170000000000000e+02	1.000592e+00
3.180000000000000e+02	1.040694e+00
3.190000000000000e+02	9.576504e-01
3.200000000000000e+02	1.021390e+00
3.210000000000000e+02	1.011721e+00
3.220000000000000e+02	9.689084e-01
3.230000000000000e+02	9.896982e-01
3.240000000000000e+02	9.777664e-01
3.250000000000000e+02	1.035810e+00
3.260000000000000e+02	1.040894e+00
3.270000000000000e+02	1.011728e+00
3.280000000000000e+02	9.680819e-01
3.290000000000000e+02	1.001502e+00
3.300000000000000e+02	1.032463e+00
3.310000000000000e+02	9.859325e-01
3.320000000000000e+02	1.031612e+00
3.330000000000000e+02	9.793388e-01
3.340000000000000e+02	9.672118e-01
3.350000000000000e+02	9.992790e-01
3.360000000000000e+02	9.695325e-01
3.370000000000000e+02	1.036431e+00
3.380000000000000e+02	9.704197e-01
3.390000000000000e+02	1.011627e+00
3.400000000000000e+02	1.037805e+00
3.410000000000000e+02	9.892469e-01
3.420000000000000e+02	1.044658e+00
3.430000000000000e+02	9.666698e-01
3.440000000000000e+02	1.047188e+00
3.450000000000000e+02	1.006397e+00
3.460000000000000e+02	1.009837e+00
3.470000000000000e+02	9.631222e-01
3.480000000000000e+02	1.006678e+00
3.490000000000000e+02	1.005438e+00
3.500000000000000e+02	9.810490e-01
3.510000000000000e+02	9.620649e-01
3.520000000000000e+02	1.023779e+00
3.530000000000000e+02	9.742724e-01
3.540000000000000e+02	1.032286e+00
3.550000000000000e+02	9.685476e-01
3.560000000000000e+02	9.812677e-01
3.570000000000000e+02	1.038172e+00
3.580000000000000e+02	1.017421e+00
3.590000000000000e+02	1.023930e+00
3.600000000000000e+02	9.562543e-01
3.610000000000000e+02	9.631562e-01
3.620000000000000e+02	9.589953e-01
3.630000000000000e+02	9.508315e-01
3.640000000000000e+02	9.956511e-01
3.650000000000000e+02	1.013430e+00
3.660000000000000e+02	1.002976e+00
3.670000000000000e+02	9.997869e-01
3.680000000000000e+02	9.835798e-01
3.690000000000000e+02	9.752823e-01
3.700000000000000e+02	9.733676e-01
3.710000000000000e+02	9.673163e-01
3.720000000000000e+02	1.009598e+00
3.730000000000000e+02	1.022689e+00
3.740000000000000e+02	1.037757e+00
3.750000000000000e+02	1.020716e+00
3.760000000000000e+02	9.734766e-01
3.770000000000000e+02	9.977996e-01
3.780000000000000e+02	9.518211e-01
3.790000000000000e+02	1.024733e+00
3.800000000000000e+02	1.015472e+00
3.810000000000000e+02	9.578067e-01
3.820000000000000e+02	9.972769e-01
3.830000000000000e+02	1.049647e+00
3.840000000000000e+02	1.003210e+00
3.850000000000000e+02	1.039944e+00
3.860000000000000e+02	1.027290e+00
3.870000000000000e+02	9.703760e-01
3.880000000000000e+02	1.040711e+00
3.890000000000000e+02	9.874812e-01
3.900000000000000e+02	1.034809e+00
3.910000000000000e+02	9.826699e-01
3.920000000000000e+02	9.826736e-01
3.930000000000000e+02	1.015921e+00
3.940000000000000e+02	1.008677e+00
3.950000000000000e+02	9.548983e-01
3.960000000000000e+02	1.026997e+00
3.970000000000000e+02	9.991752e-01
3.980000000000000e+02	9.988184e-01
3.990000000000000e+02	9.929127e-01
4.000000000000000e+02	9.894727e-01
4.010000000000000e+02	1.027645e+00
4.020000000000000e+02	1.047475e+00
4.030000000000000e+02	1.024850e+00
4.040000000000000e+02	1.013450e+00
4.050000000000000e+02	9.572181e-01
4.060000000000000e+02	1.013336e+00
4.070000000000000e+02	1.002892e+00
4.080000000000000e+02	9.796168e-01
4.090000000000000e+02	9.825328e-01
4.100000000000000e+02	1.013112e+00
4.110000000000000e+02	1.049451e+00
4.120000000000000e+02	1.001605e+00
4.130000000000000e+02	1.022445e+00
4.140000000000000e+02	9.745575e-01
4.150000000000000e+02	9.832339e-01
4.160000000000000e+02	1.024861e+00
4.170000000000000e+02	1.018297e+00
4.180000000000000e+02	1.018127e+00
4.190000000000000e+02	9.578843e-01
4.200000000000000e+02	9.958937e-01
4.210000000000000e+02	1.019815e+00
4.220000000000000e+02	9.567885e-01
4.230000000000000e+02	9.569140e-01
4.240000000000000e+02	1.002704e+00
4.250000000000000e+02	9.762049e-01
4.260000000000000e+02	9.983375e-01
4.270000000000000e+02	9.630805e-01
4.280000000000000e+02	9.594441e-01
4.290000000000000e+02	9.620382e-01
4.300000000000000e+02	1.046984e+00
4.310000000000000e+02	1.025628e+00
4.320000000000000e+02	9.768177e-01
4.330000000000000e+02	1.022491e+00
4.340000000000000e+02	9.915763e-01
4.350000000000000e+02	9.974719e-01
4.360000000000000e+02	9.555441e-01
4.370000000000000e+02	1.011374e+00
4.380000000000000e+02	9.990619e-01
4.390000000000000e+02	1.040447e+00
4.400000000000000e+02	1.043521e+00
4.410000000000000e+02	1.041828e+00
4.420000000000000e+02	9.803825e-01
4.430000000000000e+02	1.029010e+00
